"","Acute HX_SL.IM","Acute HX_1D.HX.IM","Acute HX_3D.HX.IM","Acute HX_7D.HX.IM","Acute HX_21D.HX.IM"
"Hspe1",2.81125955169164,3.83670764783784,2.69371659918087,2.93667149797474,2.94110274086084
"Gsta3",0.0788948317273924,0.0168463990788291,0.0290785586340056,0.0128250967185101,0.0215082797473214
"Zranb3",0.0160320359013811,0.0242571877107473,0.0276477064366184,0,0.0128532867676816
"Cryzl2",0.120485649912786,0.16833705655136,0.0990617281389838,0.204451883838347,0.149754980682699
"Mob4",0.404735646296724,0.521038446678444,0.499903962063933,0.389364702933205,0.433347195903274
"Dis3l2",0.141735741068617,0.160014936434624,0.158693408042745,0.119399037517112,0.0631670052808201
"Rftn2",0.0127779340013231,0.00983807803858058,0,0.0180514363186833,0.0160272555350552
"Mars2",0.018267889202686,0.039521100174083,0.0395319191103835,0.0976012704601627,0.0194137845733582
"Alppl2",0,0,0,0,0
"Plcl1",0.0823517318702483,0.0522491125282125,0.0733545638396025,0.032696401317586,0.080724874332321
"R3hdm1",0.457203420831545,0.332446217395767,0.407406130123834,0.426405270176431,0.378842745724232
"Ubxn4",0.953214973928429,0.680631199690474,0.737017253089465,0.659296129463349,1.02603794912684
"Sec16b",0.00807079232092323,0.0146930891109257,0,0.00933029942378283,0.0123725968639873
"Mcm6",0.318733018799689,0.265413494436719,0.507563098948052,0.161274746287721,0.27406024219635
"Satb2",0.0071433622569616,0,0,0.00223379817007254,0.0108510844927172
"1700066M21Rik",0.0277399343029075,0.0310474813263194,0.0185970947636629,0.0341693513833529,0.0183886526559682
"Dars",0.355065046704147,0.414271522168148,0.273329024052105,0.2356504722459,0.337251657681479
"Cxcr4",1.59968944476289,0.644786602188445,1.38962688897067,1.23927473938598,1.3700823584806
"Tyw5",0.0468844976917481,0.0606598340738869,0.0654354492377245,0.0790095193938042,0.0495626041601717
"Maip1",0.162980631024881,0.181882537368097,0.255373081984726,0.114195433201624,0.183481342087873
"Cd55",0.0987824352224374,0.00715926021167135,0.0018554345585448,0.0291027079663868,0.027451466537563
"Dusp10",0.0457624199855456,0.0349114593244777,0.0164732550748206,0.0456208083704232,0.0168445933736078
"1700056E22Rik",0.0354755504477277,0.0266460616296441,0.0202747129491072,0.0436120220192922,0.0354219445378049
"Hlx",0.324925304274145,0.269129782257142,0.22194655404007,0.482543910686391,0.197563972462477
"Eif4e2",0.704159390905671,0.895758365479486,0.544462744005504,0.781753134698155,0.846008701211708
"Ogfrl1",0.58234683153263,0.451519818277807,0.393336461163504,0.505774931769396,0.762557485344473
"B3gat2",0,0.00161786512128897,0,0.00477601731192306,0.0374412591675165
"Mtarc2",0.70294906301125,0.828942139916048,0.866011848001512,0.935334603514044,0.950287438228294
"C130074G19Rik",0,0.0132177834235196,0.0149872683155659,0.0164128151260504,0.000381293348037714
"Smap1",0.679003420462405,0.538447864460885,0.398509021587124,0.381852793459074,1.1549084061056
"Sdhaf4",0.372812045695704,0.460337622233846,0.230978313164244,0.290327430238898,0.397464344323449
"Spats2l",0.0554533402848754,0.00431802726197208,0.0176001802258455,0.013191630056551,0.0447434032135243
"Kctd18",0.0761280593144785,0.0590225779127462,0.0621880055327682,0.133263509386742,0.0686553451118078
"Sgo2a",0.0141674474003523,0.00752796060480623,0.0234146730982398,0.0215606599869098,0.0179394843542117
"Cop1",0.474866825718209,0.361365301486311,0.533465413409954,0.528088327155556,0.355489070552886
"Rab3gap2",0.254733277759388,0.0909522697143497,0.181831077285469,0.158513641247578,0.18862155621321
"Fam135a",0.060375675746959,0.0246753431597446,0.0211495710480248,0.0303786691606185,0.028174720320218
"Pfkfb2",0.0175608594332659,0.0100351975494914,0,0.00549304806605726,0.00592822247691235
"Tnr",0.00420159240352093,0,0,0,0.00116742624226097
"Yod1",0.093486974334829,0.0999759675385254,0.0348755960564914,0.13118515107038,0.0436432978495215
"AA986860",0.00927882823617401,0.00393591104680178,0.00934849409782825,0,0.00844213953270385
"4930523C07Rik",0.569144516896288,0.352957779828189,0.579767958485644,0.393328166306713,0.362309813393432
"Iars2",0.160058162035925,0.105222890382748,0.110467693680719,0.122939254609526,0.254343832358721
"Pigr",0.00483850518742599,0,0,0,0.00289411377746862
"Fcmr",0,0,0,0,0.000405824342261212
"Bpnt1",0.0709019581665648,0.147619456120439,0.130999748478033,0.100945016146493,0.0563304315959073
"Mrps14",1.12460397027016,1.69127100075638,1.54833097999399,1.13826552642654,1.48477243710576
"Cacybp",0.719778421932732,1.18665805234707,0.910372855132227,0.920925632669904,0.898451307446599
"Il10",0.0691586456843054,0.0345137008445489,0.0530081541486727,0.0804442610628632,0.0544929893006479
"Mapkapk2",0.99523367631509,0.600819858458045,0.976469894892439,0.706799788381941,1.09111772698038
"Bzw1",1.30768970152998,1.41166773367386,1.22216697117214,0.881323405687801,1.92871364735401
"Dyrk3",0.0164319140819858,0.0235098281955952,0.0272823184872838,0.0114646812056962,0.0147116394541943
"Eprs",0.643824473307246,0.410230070476626,0.498027999434399,0.403148929589005,0.780531482883815
"Lyplal1",0.0138281176140638,0.0056896865459287,0,0.00296188947447552,0.0107328755321437
"Gigyf2",0.371371823443341,0.216533659043839,0.153748253252322,0.375272396814321,0.292740141587896
"Kcnj13",0.00134853837319882,0,0,0,0.00110656947056006
"Clk1",2.17338943950225,0.913181628178571,1.15183767359305,1.47410001099851,1.1581448156272
"Rabgap1l",0.0643758978270556,0.0723913804877424,0.0652446909830421,0.0470313104441623,0.0933088641182066
"Tgfb2",0.00155386826180567,0.00492373203664523,0.0210096392224753,0.0160092213114754,0.00188290533975894
"Rrp15",0.183067650803567,0.308985578130644,0.165996693508653,0.194402908882593,0.226477365189752
"Ppil3",0.206476957998165,0.345985575747987,0.242098628714798,0.218138707286335,0.283415007330523
"Lmbrd1",0.472920935352002,0.363691647741554,0.502979935486569,0.586324000196731,0.487853423686029
"Rc3h1",0.580837881655608,0.216475524031978,0.194267211490298,0.240514044126326,0.456585131397401
"Nif3l1",0.0602283805259367,0.129253390794395,0.198749153657401,0.106896894743845,0.0746445752220719
"Serpinc1",0.0127539525669853,0.00209559671184357,0.0242428792735311,0.0050186615721919,0.00251233750631817
"Zbtb37",0.138323697824191,0.0592906263824161,0.0923615371330162,0.0880042119429172,0.078110554492725
"Orc2",0.113407930962711,0.100547785974525,0.0907900850106387,0.0823287767334447,0.168718049964897
"Gpatch2",0.102861259388866,0.0797821815816872,0.133834002572484,0.166323810678111,0.108261381686539
"Eif2d",0.108899172441174,0.109326381449693,0.0609673448073166,0.112513673668344,0.0723059404142285
"Fam126b",0.214495942268684,0.0804890734792752,0.183345401454637,0.0570951729507551,0.109479373991965
"Ndufb3",1.18630317817092,1.48389237911246,1.55467567607865,1.1992463053267,1.56120654038081
"Rassf5",0.761618823657069,0.481261883844702,0.55941738896667,0.439568899060805,0.50223627598719
"Ikbke",0.0141093583406393,0.0672961271726777,0.0745198559032925,0.0766322177424358,0.0166997200440205
"Cflar",0.954935795737478,0.7377676766963,0.849158306125472,0.735427975806423,0.657222542328412
"Phf3",0.659690890040751,0.33848462109327,0.298428700909882,0.32938620721746,0.902135076474339
"Ptp4a1",0.0259012347633204,0.00206799662892015,0.017631095741841,0.0056678032501451,0.0163377930015261
"Kctd3",0.0731011136226347,0.0752585401419363,0.0568069865496862,0.0838486827727903,0.0372588497976881
"Casp8",0.901758662313169,0.894628752642168,0.749020618138307,0.684235805508562,0.694439416571561
"Ptp4a1.1",0.0113070267364492,0.00270199416967938,0.0219891387760376,0.0120373441327829,0.00555099382091677
"4931428L18Rik",0,0,0,0,0
"Trak2",0.165801943072871,0.141680764229092,0.181398681275574,0.130478309058781,0.119514517121574
"Srgap2",0.758069376598589,0.336076760946243,0.383264113565821,0.364151920626649,0.790282067649607
"Fam72a",0.00666967246572455,0.0194540470891459,0.0247823018173113,0.0164631008508826,0.0110267812926302
"Dars2",0.0462991263328958,0.0375231489089292,0.060563890128091,0.0628846802086177,0.0439621126998375
"Prim2",0.102360764712706,0.0826795996130125,0.10642064669768,0.136959844773817,0.0550326547443961
"Cenpf",0.123284903825752,0.0178083970613267,0.177667257894973,0.0576271298664572,0.0502618968683559
"Stradb",0.0599792484685747,0.0855710104627459,0.059790030873867,0.11382957139569,0.0502487675403223
"Rab7b",1.01802077625118,0.631621984720684,0.59575191446867,0.596915017552335,0.741092827438602
"Rab23",0.0248315366142999,0.0305740521566947,0.049443347231854,0.0142247901016377,0.0240019872637357
"Bag2",0.00911438771107432,0.0174137912057024,0.0210808151128128,0.00105597156141869,0.0170317793010365
"Cenpl",0.0325443642261716,0.0637138415326252,0.109168296026419,0.104840537535704,0.0472979874783431
"Ptpn14",0,0,0,0,0.000182858915021256
"Zfp451",0.338963541235878,0.153252361979207,0.181432929174416,0.255098237756615,0.276841002679803
"Klhl20",0.144718098485003,0.0817733951982123,0.1466479592328,0.11415225332006,0.0945173076361076
"Smyd2",0.0229943865344812,0.0915917140486383,0.133017506532911,0.062163175915799,0.0472895603839156
